Rack ID,Asset ID,Position,Lab,Location,Type,Usage,Rack Info,Subnets,Hosts,Console Subnet,Console VLAN
Rack-001,H1000,25,Lab-3,DC-North,Standard,Storage,Row-11 Slot-13,192.168.202.0/24,28,192.168.193.0/24,VLAN-951
Rack-002,H1001,13,Lab-4,DC-East,Network,Compute,Row-14 Slot-4,10.141.47.0/24,31,192.168.100.0/24,VLAN-218
Rack-003,H1002,16,Lab-4,DC-East,Standard,Compute,Row-15 Slot-27,10.224.226.0/24,7,172.17.41.0/24,VLAN-820
Rack-004,H1003,8,Lab-5,DC-North,Standard,Storage,Row-5 Slot-40,172.30.1.0/24,9,172.26.255.0/24,VLAN-865
Rack-005,H1004,40,Lab-3,DC-East,Network,Compute,Row-18 Slot-20,192.168.173.0/24,32,10.128.206.0/24,VLAN-603
Rack-006,H1005,20,Lab-3,DC-North,Standard,Storage,Row-11 Slot-39,10.235.194.0/24,39,192.168.105.0/24,VLAN-245
Rack-007,H1006,40,Lab-1,DC-North,Network,Networking,Row-19 Slot-38,192.168.14.0/24,20,10.218.114.0/24,VLAN-385
Rack-008,H1007,35,Lab-3,DC-West,Blade,Compute,Row-10 Slot-18,192.168.5.0/24,40,172.16.218.0/24,VLAN-368
Rack-009,H1008,18,Lab-4,DC-West,Blade,Networking,Row-1 Slot-10,192.168.162.0/24,24,172.22.242.0/24,VLAN-881
Rack-010,H1009,38,Lab-5,DC-East,Standard,Storage,Row-1 Slot-38,172.27.185.0/24,10,10.35.82.0/24,VLAN-215
Rack-011,H1010,16,Lab-2,DC-East,Standard,Networking,Row-3 Slot-16,192.168.145.0/24,27,172.18.121.0/24,VLAN-501
Rack-012,H1011,36,Lab-4,DC-North,Network,Compute,Row-4 Slot-38,10.250.229.0/24,21,10.115.87.0/24,VLAN-281
Rack-013,H1012,5,Lab-5,DC-West,Blade,Compute,Row-15 Slot-23,192.168.132.0/24,34,192.168.192.0/24,VLAN-651
Rack-014,H1013,32,Lab-3,DC-North,Blade,Compute,Row-20 Slot-34,192.168.147.0/24,39,192.168.112.0/24,VLAN-627
Rack-015,H1014,1,Lab-4,DC-East,Standard,Compute,Row-5 Slot-22,10.212.194.0/24,39,10.91.119.0/24,VLAN-612
Rack-016,H1015,20,Lab-2,DC-North,Standard,Storage,Row-2 Slot-1,172.31.196.0/24,5,192.168.79.0/24,VLAN-381
Rack-017,H1016,28,Lab-1,DC-West,Blade,Networking,Row-8 Slot-31,172.28.118.0/24,27,192.168.180.0/24,VLAN-879
Rack-018,H1017,34,Lab-1,DC-West,Network,Storage,Row-16 Slot-2,10.188.89.0/24,35,172.27.237.0/24,VLAN-945
Rack-019,H1018,6,Lab-5,DC-North,Network,Compute,Row-4 Slot-32,172.29.182.0/24,32,172.16.215.0/24,VLAN-335
Rack-020,H1019,37,Lab-4,DC-West,Network,Compute,Row-3 Slot-5,192.168.80.0/24,39,192.168.199.0/24,VLAN-628
Rack-021,H1020,12,Lab-2,DC-North,Blade,Networking,Row-6 Slot-34,192.168.102.0/24,14,10.86.50.0/24,VLAN-479
Rack-022,H1021,27,Lab-2,DC-North,Standard,Compute,Row-4 Slot-33,192.168.232.0/24,37,192.168.67.0/24,VLAN-159
Rack-023,H1022,2,Lab-3,DC-West,Blade,Storage,Row-15 Slot-13,192.168.80.0/24,11,10.146.155.0/24,VLAN-149
Rack-024,H1023,28,Lab-5,DC-West,Standard,Networking,Row-10 Slot-24,10.136.77.0/24,38,172.19.50.0/24,VLAN-622
Rack-025,H1024,6,Lab-2,DC-West,Standard,Compute,Row-11 Slot-21,10.144.102.0/24,20,192.168.227.0/24,VLAN-312
Rack-026,H1025,42,Lab-1,DC-North,Network,Storage,Row-11 Slot-24,172.18.229.0/24,37,10.50.1.0/24,VLAN-116
Rack-027,H1026,14,Lab-3,DC-North,Network,Storage,Row-14 Slot-42,192.168.185.0/24,6,10.232.19.0/24,VLAN-946
Rack-028,H1027,8,Lab-5,DC-East,Standard,Compute,Row-3 Slot-18,192.168.60.0/24,37,192.168.219.0/24,VLAN-291
